0.371979	0.000000
0.558149	0.100000
0.597176	0.200000
0.609376	0.300000
0.608064	0.400000
0.625571	0.500000
0.620741	0.600000
0.612848	0.700000
0.663531	0.800000
0.657845	0.900000
0.703587	1.000000
0.748464	1.100000
0.757293	1.200000
0.736448	1.300000
0.743667	1.400000
0.730456	1.500000
0.796056	1.600000
0.875720	1.700000
0.943675	1.800000
0.925437	1.900000
0.903104	2.000000
0.863568	2.100000
0.758315	2.200000
0.714864	2.300000
0.364072	2.400000
0.132923	2.500000
0.029344	2.600000
0.032485	2.700000
0.011829	2.800000
0.047107	2.900000
0.018813	3.000000
0.019101	3.100000
0.023080	3.200000
0.023915	3.300000
0.024333	3.400000
0.019899	3.500000
0.018259	3.600000
0.015693	3.700000
0.022376	3.800000
0.014149	3.900000
0.019125	4.000000
0.018957	4.100000
0.019112	4.200000
0.011648	4.300000
0.013333	4.400000
0.017683	4.500000
0.014765	4.600000
0.014429	4.700000
0.012848	4.800000
0.015067	4.900000
0.017096	5.000000
